username,articleTitle,likeStatus,skipStatus
thh,Liam Payne’s Funeral: Former One Direction Bandmates Attend Service Today - Forbes,like
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,like
thh,Ukrainian Bombers Fire 10 Bunker-Busting Storm Shadow Cruise Missiles At Russian Commanders - Forbes,didn't like,didn't skip
thh,Diddy is calling witnesses from prison,didn't like,didn't skip
thh,Northwest U.S. sees ‘Bomb cyclone’ kill 1 and knock out power to half a million homes - PBS NewsHour,didn't like,skip
thh,Cancel anytime during your trial.,didn't like,didn't skip
thh,Samsung Galaxy S25 Ultra leaked dummy units reveal rounded corners and new design details - PhoneArena,like
thh,Liam Payne’s Funeral: Former One Direction Bandmates Attend Service Today - Forbes,like
thh,Cleveland launches formal bid for a WNBA team - CNBC,like
thh,Adani touts financial muscle, shows can grow without external debt - The Economic Times,didn't like,didn't skip
thh,Senate Republicans deliver a message to Trump: Gaetz’s confirmation is in jeopardy - POLITICO,like
gig,Bryan Kohbherger can face death penalty if convicted in trial of slain Idaho college students,didn't like,didn't skip
gig,Tesla Stock Is Down. Kim Kardashian Isn’t Helping. - Barron's,didn't like,didn't skip
gig,The industries that could be hardest hit by Trump's immigration crackdown - Axios,didn't like,didn't skip
gig,Sean "Diddy" Combs has been breaking prison rules by contacting potential witnesses in his upcoming sex trafficking trial,didn't like,didn't skip
gig,Sonny Bono thought about ‘seriously’ killing Cher,didn't like,didn't skip
thh,"Education is life",like
thh,Sunday Night Football: Saquon Barkley runs for 255,didn't like,didn't skip
thh,Senate Republicans deliver a message to Trump: Gaetz’s confirmation is in jeopardy - POLITICO,like
gig,It happened after Cher was so unhappy that she considered jumping f… [+2921 chars],didn't like,didn't skip
gig,"Education is life",didn't like,didn't skip
gig,Tesla Stock Is Down. Kim Kardashian Isn’t Helping. - Barron's,didn't like,didn't skip
thh,Russia and Ukraine trade drone strikes as Zelenskyy calls on allies for 'unwavering' aid - ABC News,didn't like,didn't skip
thh,Sony is in talks to buy FromSoftware’s parent company - Polygon,didn't like,didn't skip
thh,yh jg ker,didn't like,didn't skip
thh,girlll,didn't like,didn't skip
